年,品目,都道府県,作付面積（ha）,収穫量（t）,出荷量（t）
1994,いんげん,三重県,15,NA,NA
1995,いんげん,三重県,14,13,11.7
1996,いんげん,三重県,11,NA,NA
1997,いんげん,三重県,11,NA,NA
1998,いんげん,三重県,6,6,5.4
1999,いんげん,三重県,7,NA,NA
2000,いんげん,三重県,7,NA,NA
2001,いんげん,三重県,7,7,6.3
2002,いんげん,三重県,7,NA,NA
2003,いんげん,三重県,7,7,6.3
2004,いんげん,三重県,7,NA,NA
2005,いんげん,三重県,7,NA,NA
2006,いんげん,三重県,7,7,6.3
2007,いんげん,三重県,NA,NA,NA
2008,いんげん,三重県,NA,NA,NA
2009,いんげん,三重県,NA,NA,NA
2010,いんげん,三重県,NA,NA,NA
2011,いんげん,三重県,NA,NA,NA
2012,いんげん,三重県,NA,NA,NA
2013,いんげん,三重県,NA,NA,NA
2014,いんげん,三重県,NA,NA,NA
2015,いんげん,三重県,NA,NA,NA
2016,いんげん,三重県,NA,NA,NA
2017,いんげん,三重県,NA,NA,NA
2018,いんげん,三重県,NA,NA,NA
2019,いんげん,三重県,NA,NA,NA
2020,いんげん,三重県,NA,NA,NA
2021,いんげん,三重県,NA,NA,NA
1985,いんげん,京都府,87,77,69.3
1986,いんげん,京都府,83,NA,NA
1987,いんげん,京都府,84,NA,NA
1988,いんげん,京都府,78,73,65.7
1989,いんげん,京都府,80,NA,NA
1990,いんげん,京都府,79,NA,NA
1991,いんげん,京都府,76,71,63.9
1992,いんげん,京都府,69,NA,NA
1993,いんげん,京都府,68,NA,NA
1994,いんげん,京都府,64,NA,NA
1995,いんげん,京都府,63,57,51.3
1996,いんげん,京都府,58,NA,NA
1997,いんげん,京都府,59,NA,NA
1998,いんげん,京都府,60,55,49.5
1999,いんげん,京都府,58,NA,NA
2000,いんげん,京都府,55,NA,NA
2001,いんげん,京都府,43,41,36.9
2002,いんげん,京都府,36,NA,NA
2003,いんげん,京都府,28,23,20.7
2004,いんげん,京都府,26,NA,NA
2005,いんげん,京都府,23,NA,NA
2006,いんげん,京都府,19,17,15.3
2007,いんげん,京都府,14,NA,NA
2008,いんげん,京都府,13,NA,NA
2009,いんげん,京都府,11,9,8.1
2010,いんげん,京都府,8,NA,NA
2011,いんげん,京都府,6,NA,NA
2012,いんげん,京都府,3,3,NA
2013,いんげん,京都府,3,NA,NA
2014,いんげん,京都府,3,NA,NA
2015,いんげん,京都府,3,3,NA
2016,いんげん,京都府,3,NA,NA
2017,いんげん,京都府,NA,NA,NA
2018,いんげん,京都府,3,2,NA
2019,いんげん,京都府,NA,NA,NA
2020,いんげん,京都府,NA,NA,NA
2021,いんげん,京都府,2,NA,NA
1985,いんげん,鳥取県,84,79,71.1
1986,いんげん,鳥取県,87,NA,NA
1987,いんげん,鳥取県,95,NA,NA
1988,いんげん,鳥取県,59,58,52.2
1989,いんげん,鳥取県,57,NA,NA
1990,いんげん,鳥取県,31,NA,NA
1991,いんげん,鳥取県,30,28,25.2
1992,いんげん,鳥取県,27,NA,NA
1993,いんげん,鳥取県,23,NA,NA
1994,いんげん,鳥取県,18,NA,NA
1995,いんげん,鳥取県,18,18,16.2
1996,いんげん,鳥取県,16,NA,NA
1997,いんげん,鳥取県,20,NA,NA
1998,いんげん,鳥取県,11,9,8.1
1999,いんげん,鳥取県,11,NA,NA
2000,いんげん,鳥取県,9,NA,NA
2001,いんげん,鳥取県,8,8,7.2
2002,いんげん,鳥取県,7,NA,NA
2003,いんげん,鳥取県,7,6,5.4
2004,いんげん,鳥取県,7,NA,NA
2005,いんげん,鳥取県,7,NA,NA
2006,いんげん,鳥取県,7,7,6.3
2007,いんげん,鳥取県,6,NA,NA
2008,いんげん,鳥取県,5,NA,NA
2009,いんげん,鳥取県,5,4,NA
2010,いんげん,鳥取県,4,NA,NA
2011,いんげん,鳥取県,4,NA,NA
2012,いんげん,鳥取県,4,3,NA
2013,いんげん,鳥取県,4,NA,NA
2014,いんげん,鳥取県,3,NA,NA
2015,いんげん,鳥取県,3,2,NA
2016,いんげん,鳥取県,3,NA,NA
2017,いんげん,鳥取県,NA,NA,NA
2018,いんげん,鳥取県,3,2,NA
2019,いんげん,鳥取県,NA,NA,NA
2020,いんげん,鳥取県,NA,NA,NA
2021,いんげん,鳥取県,NA,NA,NA
1985,いんげん,島根県,63,66,59.4
1986,いんげん,島根県,46,NA,NA
1987,いんげん,島根県,51,NA,NA
1988,いんげん,島根県,50,56,50.4
1989,いんげん,島根県,50,NA,NA
1990,いんげん,島根県,50,NA,NA
1991,いんげん,島根県,46,48,43.2
1992,いんげん,島根県,50,NA,NA
1993,いんげん,島根県,47,NA,NA
1994,いんげん,島根県,44,NA,NA
1995,いんげん,島根県,43,49,44.1
1996,いんげん,島根県,38,NA,NA
1997,いんげん,島根県,38,NA,NA
1998,いんげん,島根県,41,45,40.5
1999,いんげん,島根県,38,NA,NA
2000,いんげん,島根県,36,NA,NA
2001,いんげん,島根県,36,39,35.1
2002,いんげん,島根県,34,NA,NA
2003,いんげん,島根県,16,16,14.4
2004,いんげん,島根県,15,NA,NA
2005,いんげん,島根県,14,NA,NA
2006,いんげん,島根県,13,13,11.7
2007,いんげん,島根県,11,NA,NA
2008,いんげん,島根県,9,NA,NA
2009,いんげん,島根県,5,5,4.5
2010,いんげん,島根県,0,NA,NA
2011,いんげん,島根県,2,NA,NA
2012,いんげん,島根県,1,1,NA
2013,いんげん,島根県,1,NA,NA
2014,いんげん,島根県,1,NA,NA
2015,いんげん,島根県,2,2,NA
2016,いんげん,島根県,1,NA,NA
2017,いんげん,島根県,NA,NA,NA
2018,いんげん,島根県,2,2,NA
2019,いんげん,島根県,NA,NA,NA
2020,いんげん,島根県,NA,NA,NA
2021,いんげん,島根県,1,NA,NA
1985,いんげん,岡山県,73,47,42.3
1986,いんげん,岡山県,76,NA,NA
1987,いんげん,岡山県,74,NA,NA
1988,いんげん,岡山県,79,66,59.4
1989,いんげん,岡山県,69,NA,NA
1990,いんげん,岡山県,63,NA,NA
1991,いんげん,岡山県,60,47,42.3
1992,いんげん,岡山県,54,NA,NA
1993,いんげん,岡山県,54,NA,NA
1994,いんげん,岡山県,49,NA,NA
1995,いんげん,岡山県,46,39,35.1
1996,いんげん,岡山県,40,NA,NA
1997,いんげん,岡山県,37,NA,NA
1998,いんげん,岡山県,34,23,20.7
1999,いんげん,岡山県,14,NA,NA
2000,いんげん,岡山県,16,NA,NA
2001,いんげん,岡山県,11,10,9
2002,いんげん,岡山県,8,NA,NA
2003,いんげん,岡山県,9,7,6.3
2004,いんげん,岡山県,9,NA,NA
2005,いんげん,岡山県,8,NA,NA
2006,いんげん,岡山県,8,6,5.4
2007,いんげん,岡山県,8,NA,NA
2008,いんげん,岡山県,8,NA,NA
2009,いんげん,岡山県,8,6,5.4
2010,いんげん,岡山県,4,NA,NA
2011,いんげん,岡山県,3,NA,NA
2012,いんげん,岡山県,4,3,NA
2013,いんげん,岡山県,2,NA,NA
2014,いんげん,岡山県,1,NA,NA
2015,いんげん,岡山県,0,0,NA
2016,いんげん,岡山県,0,NA,NA
2017,いんげん,岡山県,NA,NA,NA
2018,いんげん,岡山県,0,0,NA
2019,いんげん,岡山県,NA,NA,NA
2020,いんげん,岡山県,NA,NA,NA
2021,いんげん,岡山県,0,NA,NA
1985,いんげん,広島県,126,145,130.5
1986,いんげん,広島県,117,NA,NA
1987,いんげん,広島県,114,NA,NA
1988,いんげん,広島県,98,117,105.3
1989,いんげん,広島県,95,NA,NA
1990,いんげん,広島県,91,NA,NA
1991,いんげん,広島県,91,102,91.8
1992,いんげん,広島県,88,NA,NA
1993,いんげん,広島県,81,NA,NA
1994,いんげん,広島県,70,NA,NA
1995,いんげん,広島県,72,83,74.7
1996,いんげん,広島県,63,NA,NA
1997,いんげん,広島県,58,NA,NA
1998,いんげん,広島県,54,46,41.4
1999,いんげん,広島県,45,NA,NA
2000,いんげん,広島県,43,NA,NA
2001,いんげん,広島県,40,48,43.2
2002,いんげん,広島県,36,NA,NA
2003,いんげん,広島県,36,38,34.2
2004,いんげん,広島県,35,NA,NA
2005,いんげん,広島県,34,NA,NA
2006,いんげん,広島県,28,28,25.2
2007,いんげん,広島県,27,NA,NA
2008,いんげん,広島県,26,NA,NA
2009,いんげん,広島県,26,24,21.6
2010,いんげん,広島県,26,NA,NA
2011,いんげん,広島県,24,NA,NA
2012,いんげん,広島県,14,11,9.9
2013,いんげん,広島県,11,NA,NA
2014,いんげん,広島県,11,NA,NA
2015,いんげん,広島県,7,4,NA
2016,いんげん,広島県,4,NA,NA
2017,いんげん,広島県,NA,NA,NA
2018,いんげん,広島県,3,2,NA
2019,いんげん,広島県,NA,NA,NA
2020,いんげん,広島県,NA,NA,NA
2021,いんげん,広島県,3,NA,NA
1985,かんしょ,青森県,10,137,123.3
1986,かんしょ,青森県,10,132,118.8
1987,かんしょ,青森県,8,110,99
1988,かんしょ,青森県,6,83,74.7
1989,かんしょ,青森県,10,149,134.1
1990,かんしょ,青森県,6,92,82.8
1991,かんしょ,青森県,6,80,72
1992,かんしょ,青森県,6,82,73.8
1993,かんしょ,青森県,6,80,72
1994,かんしょ,青森県,4,NA,NA
1995,かんしょ,青森県,4,NA,NA
1996,かんしょ,青森県,4,56,50.4
1997,かんしょ,青森県,4,NA,NA
1998,かんしょ,青森県,4,NA,NA
1999,かんしょ,青森県,4,54,48.6
2000,かんしょ,青森県,4,NA,NA
2001,かんしょ,青森県,4,NA,NA
2002,かんしょ,青森県,0,0,NA
2003,かんしょ,青森県,0,0,NA
2004,かんしょ,青森県,0,0,NA
2005,かんしょ,青森県,0,NA,NA
2006,かんしょ,青森県,0,NA,NA
2007,かんしょ,青森県,0,NA,NA
2008,かんしょ,青森県,0,4,NA
2009,かんしょ,青森県,0,NA,NA
2010,かんしょ,青森県,0,NA,NA
2011,かんしょ,青森県,1,12,10.8
2012,かんしょ,青森県,1,NA,NA
2013,かんしょ,青森県,1,NA,NA
2014,かんしょ,青森県,1,12,10.8
2015,かんしょ,青森県,1,NA,NA
2016,かんしょ,青森県,2,NA,NA
2017,かんしょ,青森県,2,20,18
2018,かんしょ,青森県,NA,NA,NA
2019,かんしょ,青森県,NA,NA,NA
2020,かんしょ,青森県,1,NA,NA
2021,かんしょ,青森県,NA,NA,NA
1985,かんしょ,岩手県,98,1270,1143
1986,かんしょ,岩手県,98,1260,1134
1987,かんしょ,岩手県,99,1190,1071
1988,かんしょ,岩手県,98,990,891
1989,かんしょ,岩手県,95,1180,1062
1990,かんしょ,岩手県,87,1150,1035
1991,かんしょ,岩手県,84,974,876.6
1992,かんしょ,岩手県,66,785,706.5
1993,かんしょ,岩手県,62,570,513
1994,かんしょ,岩手県,60,NA,NA
1995,かんしょ,岩手県,58,NA,NA
1996,かんしょ,岩手県,47,555,499.5
1997,かんしょ,岩手県,40,NA,NA
1998,かんしょ,岩手県,38,NA,NA
1999,かんしょ,岩手県,32,426,383.4
2000,かんしょ,岩手県,30,NA,NA
2001,かんしょ,岩手県,32,NA,NA
2002,かんしょ,岩手県,22,304,273.6
2003,かんしょ,岩手県,19,251,225.9
2004,かんしょ,岩手県,17,236,212.4
2005,かんしょ,岩手県,17,NA,NA
2006,かんしょ,岩手県,16,NA,NA
2007,かんしょ,岩手県,16,NA,NA
2008,かんしょ,岩手県,17,233,209.7
2009,かんしょ,岩手県,18,NA,NA
2010,かんしょ,岩手県,18,NA,NA
2011,かんしょ,岩手県,35,399,359.1
2012,かんしょ,岩手県,39,NA,NA
2013,かんしょ,岩手県,40,NA,NA
2014,かんしょ,岩手県,33,396,356.4
2015,かんしょ,岩手県,34,NA,NA
2016,かんしょ,岩手県,39,NA,NA
2017,かんしょ,岩手県,40,444,399.6
2018,かんしょ,岩手県,NA,NA,NA
2019,かんしょ,岩手県,NA,NA,NA
2020,かんしょ,岩手県,37,NA,NA
2021,かんしょ,岩手県,NA,NA,NA
1985,かんしょ,宮城県,76,920,828
1986,かんしょ,宮城県,70,868,781.2
1987,かんしょ,宮城県,67,891,801.9
1988,かんしょ,宮城県,65,696,626.4
1989,かんしょ,宮城県,65,819,737.1
1990,かんしょ,宮城県,68,966,869.4
1991,かんしょ,宮城県,66,825,742.5
1992,かんしょ,宮城県,66,898,808.2
1993,かんしょ,宮城県,62,605,544.5
1994,かんしょ,宮城県,60,NA,NA
1995,かんしょ,宮城県,57,NA,NA
1996,かんしょ,宮城県,56,728,655.2
1997,かんしょ,宮城県,52,NA,NA
1998,かんしょ,宮城県,47,NA,NA
1999,かんしょ,宮城県,50,695,625.5
2000,かんしょ,宮城県,48,NA,NA
2001,かんしょ,宮城県,51,NA,NA
2002,かんしょ,宮城県,48,667,600.3
2003,かんしょ,宮城県,48,576,518.4
2004,かんしょ,宮城県,47,669,602.1
2005,かんしょ,宮城県,45,NA,NA
2006,かんしょ,宮城県,44,NA,NA
2007,かんしょ,宮城県,40,NA,NA
2008,かんしょ,宮城県,39,517,465.3
2009,かんしょ,宮城県,38,NA,NA
2010,かんしょ,宮城県,35,NA,NA
2011,かんしょ,宮城県,33,449,404.1
2012,かんしょ,宮城県,31,NA,NA
2013,かんしょ,宮城県,30,NA,NA
2014,かんしょ,宮城県,29,397,357.3
2015,かんしょ,宮城県,28,NA,NA
2016,かんしょ,宮城県,38,NA,NA
2017,かんしょ,宮城県,37,500,450
2018,かんしょ,宮城県,NA,NA,NA
2019,かんしょ,宮城県,NA,NA,NA
2020,かんしょ,宮城県,26,NA,NA
2021,かんしょ,宮城県,NA,NA,NA
1985,かんしょ,秋田県,123,1770,1593
1986,かんしょ,秋田県,114,1650,1485
1987,かんしょ,秋田県,119,1730,1557
1988,かんしょ,秋田県,121,1740,1566
1989,かんしょ,秋田県,120,1690,1521
1990,かんしょ,秋田県,117,1740,1566
1991,かんしょ,秋田県,118,1620,1458
1992,かんしょ,秋田県,117,1730,1557
1993,かんしょ,秋田県,113,1460,1314
1994,かんしょ,秋田県,106,NA,NA
1995,かんしょ,秋田県,108,NA,NA
1996,かんしょ,秋田県,109,1640,1476
1997,かんしょ,秋田県,103,NA,NA
1998,かんしょ,秋田県,97,NA,NA
1999,かんしょ,秋田県,98,1480,1332
2000,かんしょ,秋田県,95,NA,NA
2001,かんしょ,秋田県,92,NA,NA
2002,かんしょ,秋田県,90,1280,1152
2003,かんしょ,秋田県,84,1140,1026
2004,かんしょ,秋田県,78,1070,963
2005,かんしょ,秋田県,78,NA,NA
2006,かんしょ,秋田県,78,NA,NA
2007,かんしょ,秋田県,78,NA,NA
2008,かんしょ,秋田県,81,1130,1017
2009,かんしょ,秋田県,79,NA,NA
2010,かんしょ,秋田県,78,NA,NA
2011,かんしょ,秋田県,74,844,759.6
2012,かんしょ,秋田県,70,NA,NA
2013,かんしょ,秋田県,63,NA,NA
2014,かんしょ,秋田県,52,619,557.1
2015,かんしょ,秋田県,45,NA,NA
2016,かんしょ,秋田県,38,NA,NA
2017,かんしょ,秋田県,33,350,315
2018,かんしょ,秋田県,NA,NA,NA
2019,かんしょ,秋田県,NA,NA,NA
2020,かんしょ,秋田県,28,NA,NA
2021,かんしょ,秋田県,NA,NA,NA
1985,かんしょ,山形県,125,1480,1332
1986,かんしょ,山形県,125,1540,1386
1987,かんしょ,山形県,127,1570,1413
1988,かんしょ,山形県,129,1550,1395
1989,かんしょ,山形県,129,1550,1395
1990,かんしょ,山形県,123,1590,1431
1991,かんしょ,山形県,111,1300,1170
1992,かんしょ,山形県,111,1390,1251
1993,かんしょ,山形県,107,1310,1179
1994,かんしょ,山形県,88,NA,NA
1995,かんしょ,山形県,82,NA,NA
1996,かんしょ,山形県,73,905,814.5
1997,かんしょ,山形県,69,NA,NA
1998,かんしょ,山形県,68,NA,NA
1999,かんしょ,山形県,68,850,765
2000,かんしょ,山形県,66,NA,NA
2001,かんしょ,山形県,64,NA,NA
2002,かんしょ,山形県,61,753,677.7
2003,かんしょ,山形県,55,735,661.5
2004,かんしょ,山形県,53,717,645.3
2005,かんしょ,山形県,53,NA,NA
2006,かんしょ,山形県,54,NA,NA
2007,かんしょ,山形県,54,NA,NA
2008,かんしょ,山形県,53,731,657.9
2009,かんしょ,山形県,54,NA,NA
2010,かんしょ,山形県,53,NA,NA
2011,かんしょ,山形県,47,611,549.9
2012,かんしょ,山形県,46,NA,NA
2013,かんしょ,山形県,41,NA,NA
2014,かんしょ,山形県,40,644,579.6
2015,かんしょ,山形県,36,NA,NA
2016,かんしょ,山形県,34,NA,NA
2017,かんしょ,山形県,29,363,326.7
2018,かんしょ,山形県,NA,NA,NA
2019,かんしょ,山形県,NA,NA,NA
2020,かんしょ,山形県,26,NA,NA
2021,かんしょ,山形県,NA,NA,NA
1985,かんしょ,福島県,232,3430,3087
1986,かんしょ,福島県,228,3330,2997
1987,かんしょ,福島県,222,3350,3015
1988,かんしょ,福島県,223,2540,2286
1989,かんしょ,福島県,222,3260,2934
1990,かんしょ,福島県,215,3250,2925
1991,かんしょ,福島県,189,2700,2430
1992,かんしょ,福島県,182,2770,2493
1993,かんしょ,福島県,178,2350,2115
1994,かんしょ,福島県,178,NA,NA
1995,かんしょ,福島県,163,NA,NA
1996,かんしょ,福島県,137,2190,1971
1997,かんしょ,福島県,136,NA,NA
1998,かんしょ,福島県,134,NA,NA
1999,かんしょ,福島県,133,2050,1845
2000,かんしょ,福島県,128,NA,NA
2001,かんしょ,福島県,122,NA,NA
2002,かんしょ,福島県,112,1900,1710
2003,かんしょ,福島県,95,1360,1224
2004,かんしょ,福島県,96,1560,1404
2005,かんしょ,福島県,101,NA,NA
2006,かんしょ,福島県,97,NA,NA
2007,かんしょ,福島県,98,NA,NA
2008,かんしょ,福島県,99,1580,1422
2009,かんしょ,福島県,100,NA,NA
2010,かんしょ,福島県,99,NA,NA
2011,かんしょ,福島県,77,1220,1098
2012,かんしょ,福島県,76,NA,NA
2013,かんしょ,福島県,70,NA,NA
2014,かんしょ,福島県,68,1030,927
2015,かんしょ,福島県,65,NA,NA
2016,かんしょ,福島県,56,NA,NA
2017,かんしょ,福島県,54,837,753.3
2018,かんしょ,福島県,NA,NA,NA
2019,かんしょ,福島県,NA,NA,NA
2020,かんしょ,福島県,95,NA,NA
2021,かんしょ,福島県,NA,NA,NA
1985,かんしょ,茨城県,9090,210900,189810
1986,かんしょ,茨城県,8790,196000,176400
1987,かんしょ,茨城県,8800,194500,175050
1988,かんしょ,茨城県,8860,172800,155520
1989,かんしょ,茨城県,8930,209900,188910
1990,かんしょ,茨城県,8860,203800,183420
1991,かんしょ,茨城県,8280,158100,142290
1992,かんしょ,茨城県,8070,184000,165600
1993,かんしょ,茨城県,7920,163900,147510
1994,かんしょ,茨城県,7820,188500,169650
1995,かんしょ,茨城県,7820,192400,173160
1996,かんしょ,茨城県,7650,201200,181080
1997,かんしょ,茨城県,7640,197900,178110
1998,かんしょ,茨城県,7600,165700,149130
1999,かんしょ,茨城県,7550,191000,171900
2000,かんしょ,茨城県,7560,209400,188460
2001,かんしょ,茨城県,7510,191500,172350
2002,かんしょ,茨城県,7220,179800,161820
2003,かんしょ,茨城県,7010,173100,155790
2004,かんしょ,茨城県,7100,193100,173790
2005,かんしょ,茨城県,6830,181700,163530
2006,かんしょ,茨城県,6430,159500,143550
2007,かんしょ,茨城県,6500,171600,154440
2008,かんしょ,茨城県,6430,168100,151290
2009,かんしょ,茨城県,6510,177700,159930
2010,かんしょ,茨城県,6480,155700,140130
2011,かんしょ,茨城県,6530,165200,148680
2012,かんしょ,茨城県,6640,180600,162540
2013,かんしょ,茨城県,6660,180500,162450
2014,かんしょ,茨城県,6680,173000,155700
2015,かんしょ,茨城県,6700,165500,148950
2016,かんしょ,茨城県,6720,172000,154800
2017,かんしょ,茨城県,6700,174900,157410
